OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
FENGYUN 1C DEB,1999-025CQ,2025-04-06T22:58:54.010848,13.98453475,.0114114,99.3076,157.0590,234.8752,301.5479,0,U,29798,999,92432,.23604E-2,.3526E-4,0
FENGYUN 1C DEB,1999-025CS,2025-04-06T14:43:24.557952,13.96945558,.0136394,98.3017,142.0898,209.5545,303.5265,0,U,29800,999,92082,.28904E-2,.4319E-4,0
FENGYUN 1C DEB,1999-025CT,2025-04-06T16:16:57.979776,14.35581276,.0103269,98.8166,352.4980,284.7464,128.9116,0,U,29801,999,95353,.3483E-3,.1017E-4,0
FENGYUN 1C DEB,1999-025CU,2025-04-06T04:44:19.288608,14.54902382,.0041194,98.6110,196.3128,32.0215,29.1175,0,U,29802,999,94822,.59318E-2,.25826E-3,0
FENGYUN 1C DEB,1999-025CW,2025-04-06T14:14:19.788576,14.04241529,.0096964,98.8123,112.2806,281.9597,202.1107,0,U,29804,999,93383,.30815E-4,.7E-7,0
FENGYUN 1C DEB,1999-025CX,2025-04-06T16:12:00.282528,13.72561736,.0189216,99.4855,150.6874,160.1531,200.7107,0,U,29805,999,91272,.27675E-3,.245E-5,0
FENGYUN 1C DEB,1999-025CY,2025-04-06T23:24:09.275904,14.11462356,.0027252,98.7274,119.7085,240.0773,182.5380,0,U,29806,999,93615,.82669E-3,.146E-4,0
FENGYUN 1C DEB,1999-025CZ,2025-04-06T22:51:57.189600,14.08407447,.0079301,98.7578,108.7935,317.2123,42.2891,0,U,29807,999,93578,.56949E-3,.961E-5,0
FENGYUN 1C DEB,1999-025DA,2025-04-06T14:37:35.078592,14.74739792,.0013633,99.0395,340.1286,179.2484,201.3653,0,U,29808,999,94504,.72738E-2,.48991E-3,0
FENGYUN 1C DEB,1999-025DB,2025-04-06T19:49:50.769120,14.45906538,.011798,98.8278,49.6288,18.6955,34.2256,0,U,29809,999,95855,.81972E-3,.3125E-4,0
